ICAO;City;Airport name;Country;Latitude;Longtitude;Time Difference
KCDS;Childress;Childress Municipal Airport;United States;34.4337997437;-100.288002014;-6
KBIX;Biloxi;Keesler Air Force Base;United States;30.4104003906;-88.92440032959999;-6
KLSF;Fort Benning;Lawson Army Air Field (Fort Benning);United States;32.337299346900004;-84.9913024902;-5
KNQI;Kingsville;Kingsville Naval Air Station;United States;27.5072002411;-97.8097000122;-6
KFRI;Fort Riley;Marshall Army Air Field;United States;39.05530167;-96.76450348;-6
KMDT;Harrisburg;Harrisburg International Airport;United States;40.1935005188;-76.7633972168;-5
KLNK;Lincoln;Lincoln Airport;United States;40.85100173950195;-96.75920104980469;-6
KLAN;Lansing;Capital City Airport;United States;42.77870178222656;-84.58740234375;-5
PHMU;Kamuela;Waimea Kohala Airport;United States;20.001300811767578;-155.66799926757812;-10
KMSS;Massena;Massena International Richards Field;United States;44.93579864501953;-74.84559631347656;-5
KHKY;Hickory;Hickory Regional Airport;United States;35.74110031;-81.38950348;-5
KSPG;St. Petersburg;Albert Whitted Airport;United States;27.7651;-82.626999;-5
KFMY;Fort Myers;Page Field;United States;26.58659935;-81.86329650879999;-5
KIAH;Houston;George Bush Intercontinental Houston Airport;United States;29.984399795532227;-95.34140014648438;-6
KMLT;Millinocket;Millinocket Municipal Airport;United States;45.64780044555664;-68.68560028076172;-5
KADW;Camp Springs;Joint Base Andrews;United States;38.810799;-76.866997;-5
KINT;Winston-salem;Smith Reynolds Airport;United States;36.13370132446289;-80.22200012207031;-5
KVCV;Victorville;Southern California Logistics Airport;United States;34.597499847399995;-117.383003235;-8
KCEW;Crestview;Bob Sikes Airport;United States;30.778799057;-86.522102356;-6
KGTB;Fort Drum;Wheeler Sack Army Air Field;United States;44.05559921;-75.71949768;-5
KPHN;Port Huron;St Clair County International Airport;United States;42.9109993;-82.52890015;-5
KBFL;Bakersfield;Meadows Field;United States;35.43360138;-119.0569992;-8
KELP;El Paso;El Paso International Airport;United States;31.80719948;-106.3779984;-7
KHRL;Harlingen;Valley International Airport;United States;26.228500366210938;-97.65440368652344;-6
KCAE;Columbia;Columbia Metropolitan Airport;United States;33.93880081176758;-81.11949920654297;-5
KDMA;Tucson;Davis Monthan Air Force Base;United States;32.1665000916;-110.883003235;-7
KNPA;Pensacola;Pensacola Naval Air Station/Forrest Sherman Field;United States;30.35269928;-87.31860352;-6
KPNS;Pensacola;Pensacola Regional Airport;United States;30.473400115967;-87.186599731445;-6
KRDR;Red River;Grand Forks Air Force Base;United States;47.961101532;-97.4011993408;-6
KHOU;Houston;William P Hobby Airport;United States;29.64539909;-95.27890015;-6
KBKF;Buckley;Buckley Air Force Base;United States;39.701698303200004;-104.751998901;-7
PAOR;Northway;Northway Airport;United States;62.9612999;-141.9290009;-9
